time_s,displacement
0.000000000000000000e+00,-2.663947335085162879e-13
1.600000000000000033e-07,-1.205843275881901772e-13
3.200000000000000067e-07,1.809641660720833775e-14
4.800000000000000630e-07,9.236663595949783793e-14
6.400000000000000134e-07,7.704411191872810098e-14
7.999999999999999638e-07,-1.388906618238520830e-14
9.600000000000001260e-07,-1.364758910780964763e-13
1.120000000000000076e-06,-2.374154793958583282e-13
1.280000000000000027e-06,-2.767934146324775018e-13
1.439999999999999977e-06,-2.431338692892804173e-13
1.599999999999999928e-06,-1.548415534584088809e-13
1.760000000000000090e-06,-4.852301403367541620e-14
1.920000000000000252e-06,3.927573027834935240e-14
2.079999999999999991e-06,8.759639306026887191e-14
2.240000000000000153e-06,9.643796312597194637e-14
2.399999999999999891e-06,8.022617506929975506e-14
2.560000000000000054e-06,5.419186163406976643e-14
2.720000000000000216e-06,2.236137392258131461e-14
2.879999999999999954e-06,-2.516230050258464218e-14
3.040000000000000117e-06,-1.035266705960166200e-13
3.199999999999999855e-06,-2.181008988766766255e-13
3.360000000000000017e-06,-3.527098817900017708e-13
3.520000000000000180e-06,-4.698433896119731323e-13
3.679999999999999918e-06,-5.252104835532741322e-13
3.840000000000000504e-06,-4.904965635381875154e-13
3.999999999999999819e-06,-3.723221634058300288e-13
4.159999999999999981e-06,-2.158882612367774017e-13
4.320000000000000143e-06,-8.893783164239596929e-14
4.480000000000000305e-06,-5.198198091955691861e-14
4.640000000000000468e-06,-1.286961745700781628e-13
4.799999999999999783e-06,-2.914366944063593120e-13
4.959999999999999945e-06,-4.700091760897369094e-13
5.120000000000000107e-06,-5.804619330434350415e-13
5.280000000000000269e-06,-5.606519008919064103e-13
5.440000000000000431e-06,-3.958894070242402990e-13
5.599999999999999747e-06,-1.228811950941657286e-13
5.759999999999999909e-06,1.891643011373168543e-13
5.920000000000000071e-06,4.705467506591575224e-13
6.080000000000000233e-06,6.807961534051576399e-13
6.240000000000000395e-06,8.226704443903047613e-13
6.399999999999999710e-06,9.350855577746363097e-13
6.559999999999999873e-06,1.069491143253689990e-12
6.720000000000000035e-06,1.261110047021832427e-12
6.880000000000000197e-06,1.507712497365844222e-12
7.040000000000000359e-06,1.764469614198523129e-12
7.200000000000000521e-06,1.956454144674031000e-12
7.359999999999999836e-06,2.003645798525417927e-12
7.519999999999999999e-06,1.849084028081265083e-12
7.680000000000001008e-06,1.479918380569504696e-12
7.839999999999999476e-06,9.333436461877846926e-13
7.999999999999999638e-06,2.841718632098568310e-13
8.159999999999999800e-06,-3.827692749198478236e-13
8.319999999999999962e-06,-1.005591058164947113e-12
8.480000000000000124e-06,-1.569414525272792151e-12
8.640000000000000287e-06,-2.107939737612877289e-12
8.800000000000000449e-06,-2.676256750529096598e-12
8.960000000000000611e-06,-3.301541107470729680e-12
9.120000000000000773e-06,-3.931892445500668109e-12
9.280000000000000935e-06,-4.410875135871862887e-12
9.439999999999999403e-06,-4.500440817200825639e-12
9.599999999999999566e-06,-3.956925221659691058e-12
9.759999999999999728e-06,-2.639618985013729173e-12
9.919999999999999890e-06,-6.101645190449122850e-13
1.008000000000000005e-05,1.824755861137493002e-12
1.024000000000000021e-05,4.159426315420456947e-12
1.040000000000000038e-05,5.822635155701294656e-12
1.056000000000000054e-05,6.359680598333288582e-12
1.072000000000000070e-05,5.597871064915898577e-12
1.088000000000000086e-05,3.729571728191242221e-12
1.104000000000000103e-05,1.273521634394697889e-12
1.119999999999999949e-05,-1.079977083300544125e-12
1.135999999999999966e-05,-2.689204820029889177e-12
1.151999999999999982e-05,-3.168854882725932110e-12
1.167999999999999998e-05,-2.510684652464480651e-12
1.184000000000000014e-05,-1.073712042791445339e-12
1.200000000000000030e-05,5.513847917882443025e-13
1.216000000000000047e-05,1.753399585754888969e-12
1.232000000000000063e-05,2.110912341433856600e-12
1.248000000000000079e-05,1.527963158867133914e-12
1.264000000000000095e-05,2.503800268988409111e-13
1.279999999999999942e-05,-1.237926484270909182e-12
1.295999999999999958e-05,-2.396940874690293747e-12
1.311999999999999975e-05,-2.823212021516107112e-12
1.327999999999999991e-05,-2.384869798179880747e-12
1.344000000000000007e-05,-1.254159390540410413e-12
1.360000000000000023e-05,1.688432434631322792e-13
1.376000000000000039e-05,1.408492189428811755e-12
1.392000000000000056e-05,2.083242909794456988e-12
1.408000000000000072e-05,2.030842873104764327e-12
1.424000000000000088e-05,1.346737847443219609e-12
1.440000000000000104e-05,3.278046810129981667e-13
1.455999999999999951e-05,-6.508308767083865243e-13
1.471999999999999967e-05,-1.275026600533667938e-12
1.487999999999999983e-05,-1.393927539449595527e-12
1.504000000000000000e-05,-1.050983561867621096e-12
1.520000000000000016e-05,-4.399888520764087451e-13
1.536000000000000202e-05,1.880726249020326653e-13
1.552000000000000048e-05,6.252691749042465222e-13
1.567999999999999895e-05,7.743694246455576842e-13
1.584000000000000081e-05,6.625498549990094393e-13
1.599999999999999928e-05,4.046302420913376809e-13
1.616000000000000113e-05,1.392981567550604757e-13
1.631999999999999960e-05,-3.098916697733272005e-14
1.648000000000000146e-05,-7.262301031371646242e-14
1.663999999999999992e-05,-1.806747182396673951e-14
1.680000000000000178e-05,6.375348154354907343e-14
1.696000000000000025e-05,1.056914792740499700e-13
1.711999999999999872e-05,7.124296474418100129e-14
1.728000000000000057e-05,-3.584848146601229276e-14
1.743999999999999904e-05,-1.805160005417358358e-13
1.760000000000000090e-05,-3.153478524240933617e-13
1.775999999999999937e-05,-3.992519073154585910e-13
1.792000000000000122e-05,-4.088016022511412900e-13
1.807999999999999969e-05,-3.408110638732281583e-13
1.824000000000000155e-05,-2.089760179891859985e-13
1.840000000000000001e-05,-3.854353451399082380e-14
1.856000000000000187e-05,1.386770152377063678e-13
1.872000000000000034e-05,2.890921593631413053e-13
1.887999999999999881e-05,3.831771689158060621e-13
1.904000000000000066e-05,4.027294344333605792e-13
1.919999999999999913e-05,3.476174758698669929e-13
1.936000000000000099e-05,2.384638371179470346e-13
1.951999999999999946e-05,1.121925507023717050e-13
1.968000000000000131e-05,1.024385881615921630e-14
1.983999999999999978e-05,-3.684310600809168707e-14
2.000000000000000164e-05,-2.206265268959091881e-14
2.016000000000000010e-05,3.437167309910134987e-14
2.032000000000000196e-05,9.293530395444568653e-14
2.048000000000000043e-05,1.116651694189203659e-13
2.063999999999999890e-05,6.490131579954160519e-14
2.080000000000000075e-05,-4.452063894331676033e-14
2.095999999999999922e-05,-1.853806938120214917e-13
2.112000000000000108e-05,-3.107310408367780527e-13
2.127999999999999955e-05,-3.775735884003947570e-13
2.144000000000000140e-05,-3.647844374812792059e-13
2.159999999999999987e-05,-2.813420216621097381e-13
2.176000000000000173e-05,-1.614134780872635492e-13
2.192000000000000019e-05,-4.885443917044497639e-14
2.208000000000000205e-05,2.164810355778269366e-14
2.224000000000000052e-05,3.832784616782294002e-14
2.239999999999999899e-05,1.516329058212484676e-14
2.256000000000000084e-05,-1.690979445875542025e-14
2.271999999999999931e-05,-2.587350386484965944e-14
2.288000000000000117e-05,5.893726241969743388e-15
2.303999999999999964e-05,7.354938225735724695e-14
2.320000000000000149e-05,1.526131552528313961e-13
2.335999999999999996e-05,2.112153733363260142e-13
2.352000000000000182e-05,2.260520654893126043e-13
2.368000000000000028e-05,1.945642499311649927e-13
2.384000000000000214e-05,1.373208047614738469e-13
2.400000000000000061e-05,8.876658587119839428e-14
2.415999999999999908e-05,7.979951362261647552e-14
2.432000000000000093e-05,1.198866412196763553e-13
2.447999999999999940e-05,1.876322442957479207e-13
2.464000000000000126e-05,2.359022987862981420e-13
2.479999999999999972e-05,2.114538218178294025e-13
2.496000000000000158e-05,8.186263109033832249e-14
2.512000000000000005e-05,-1.423198817920733572e-13
2.528000000000000191e-05,-4.020065854330525254e-13
2.544000000000000037e-05,-6.062900754203210214e-13
2.559999999999999884e-05,-6.671300814147825693e-13
2.576000000000000070e-05,-5.383048197808676722e-13
2.591999999999999917e-05,-2.409477794434965917e-13
2.608000000000000102e-05,1.377640593377192731e-13
2.623999999999999949e-05,4.748482610513900041e-13
