time_s,displacement
0.000000000000000000e+00,9.374413462072299375e-12
1.600000000000000033e-07,-1.347190685960658190e-11
3.200000000000000067e-07,-3.056955134037458904e-11
4.800000000000000630e-07,-3.270941601471882748e-11
6.400000000000000134e-07,-2.961641793483998825e-11
7.999999999999999638e-07,-1.685172585372690239e-11
9.600000000000001260e-07,-1.921606548058601565e-11
1.120000000000000076e-06,-4.647934610983413021e-13
1.280000000000000027e-06,6.751739682532457998e-12
1.439999999999999977e-06,-9.819499944146615009e-14
1.599999999999999928e-06,-9.751546034640730375e-12
1.760000000000000090e-06,-1.072618232515861307e-12
1.920000000000000252e-06,5.171583971393005364e-12
2.079999999999999991e-06,-1.076993205122274814e-12
2.240000000000000153e-06,-3.190331789114482900e-12
2.399999999999999891e-06,-8.258011571869834632e-12
2.560000000000000054e-06,-1.280864401218422959e-11
2.720000000000000216e-06,-1.197369905179140463e-11
2.879999999999999954e-06,-9.828539134036746993e-12
3.040000000000000117e-06,-1.953925140305439871e-11
3.199999999999999855e-06,4.421154413489118707e-12
3.360000000000000017e-06,1.669763708680566534e-11
3.520000000000000180e-06,1.805008128510493943e-11
3.679999999999999918e-06,3.839362312014930901e-12
3.840000000000000504e-06,2.647797508461686018e-11
3.999999999999999819e-06,4.497299657115888621e-11
4.159999999999999981e-06,2.793319297525038021e-11
4.320000000000000143e-06,3.462467020867293727e-11
4.480000000000000305e-06,2.330334438740550436e-11
4.640000000000000468e-06,1.337653327817673183e-11
4.799999999999999783e-06,1.134958695905425170e-11
4.959999999999999945e-06,-1.122641053600142573e-11
5.120000000000000107e-06,-2.200490061563403348e-11
5.280000000000000269e-06,-2.727862825078069680e-11
5.440000000000000431e-06,-2.133158157622144362e-11
5.599999999999999747e-06,-2.491501026888758989e-11
5.759999999999999909e-06,-2.680633937610515520e-11
5.920000000000000071e-06,1.197849013858793139e-11
6.080000000000000233e-06,1.707140581111005613e-11
6.240000000000000395e-06,2.776173117216135662e-11
6.399999999999999710e-06,2.378035344465917884e-11
6.559999999999999873e-06,1.777365309920803522e-11
6.720000000000000035e-06,1.266409969382781693e-11
6.880000000000000197e-06,3.582106723655390953e-12
7.040000000000000359e-06,1.006832063337865098e-11
7.200000000000000521e-06,5.641736100427012524e-12
7.359999999999999836e-06,-1.027539782991620658e-11
7.519999999999999999e-06,-2.463210982970181622e-11
7.680000000000001008e-06,-2.452468187428152451e-11
7.839999999999999476e-06,-9.809390388947177008e-12
7.999999999999999638e-06,-9.557204963627048677e-12
8.159999999999999800e-06,-9.932890557372393835e-12
8.319999999999999962e-06,-6.823132446630404679e-12
8.480000000000000124e-06,-1.187817997303369371e-11
8.640000000000000287e-06,7.924956154421629329e-12
8.800000000000000449e-06,6.945607174037198029e-12
8.960000000000000611e-06,-2.127512251874737585e-12
9.120000000000000773e-06,-5.674482694927147896e-12
9.280000000000000935e-06,2.276066161498061954e-12
9.439999999999999403e-06,7.044391002376697309e-12
9.599999999999999566e-06,2.148268617987575819e-11
9.759999999999999728e-06,1.770758095145503059e-11
9.919999999999999890e-06,-1.731470273278340048e-11
1.008000000000000005e-05,-1.320009824232620392e-11
1.024000000000000021e-05,-6.479305049521373582e-12
1.040000000000000038e-05,-2.032257793169605780e-11
1.056000000000000054e-05,-5.275217004972849998e-12
1.072000000000000070e-05,-2.173493947885557080e-11
1.088000000000000086e-05,-1.031595046061411640e-11
1.104000000000000103e-05,7.347855721008438046e-12
1.119999999999999949e-05,1.620538674909205863e-11
1.135999999999999966e-05,2.070156448477206563e-11
1.151999999999999982e-05,2.550973223760650139e-11
1.167999999999999998e-05,8.997889129526319430e-12
1.184000000000000014e-05,1.115264120074139083e-11
1.200000000000000030e-05,2.810623314814551406e-12
1.216000000000000047e-05,-6.117664644399274642e-12
1.232000000000000063e-05,-3.085235983921613595e-11
1.248000000000000079e-05,-4.067139084415899347e-11
1.264000000000000095e-05,-3.343715679901976173e-11
1.279999999999999942e-05,-1.547558359802230914e-11
1.295999999999999958e-05,-1.452807416599682515e-11
1.311999999999999975e-05,1.405799845889569740e-12
1.327999999999999991e-05,2.018821644014362899e-11
1.344000000000000007e-05,3.127628093449036456e-11
1.360000000000000023e-05,3.458428931559914915e-11
1.376000000000000039e-05,2.979286164430788958e-11
1.392000000000000056e-05,3.236447470569409163e-11
1.408000000000000072e-05,5.564633031576299388e-11
1.424000000000000088e-05,6.273341123788207149e-11
1.440000000000000104e-05,4.146650980354621524e-11
1.455999999999999951e-05,1.988801386900846264e-11
1.471999999999999967e-05,7.626892931013211375e-12
1.487999999999999983e-05,8.115594024494969539e-12
1.504000000000000000e-05,2.280694945833054318e-12
1.520000000000000016e-05,-2.309881128818965349e-12
1.536000000000000202e-05,9.099439841810001717e-12
1.552000000000000048e-05,2.422686953265213301e-11
1.567999999999999895e-05,1.865952433668511130e-11
1.584000000000000081e-05,-3.211673224677687570e-12
1.599999999999999928e-05,-2.836995319785856200e-11
1.616000000000000113e-05,-7.818598991024976833e-11
1.631999999999999960e-05,-9.589628841575197718e-11
1.648000000000000146e-05,-1.179902470228353983e-10
1.663999999999999992e-05,-1.237726771131418324e-10
1.680000000000000178e-05,-9.691700664791063439e-11
1.696000000000000025e-05,-7.222009546512402714e-11
1.711999999999999872e-05,-2.245463288095144865e-11
1.728000000000000057e-05,3.806397113606102650e-11
1.743999999999999904e-05,1.095935797611704084e-10
1.760000000000000090e-05,1.745856192890928249e-10
1.775999999999999937e-05,1.700315538310194719e-10
1.792000000000000122e-05,1.682538924795652869e-10
1.807999999999999969e-05,1.257300191680700785e-10
1.824000000000000155e-05,9.451074200463999894e-11
1.840000000000000001e-05,3.745423665093689053e-11
1.856000000000000187e-05,5.829107052514219412e-12
1.872000000000000034e-05,-2.566094656772804488e-11
1.887999999999999881e-05,-3.175925245577509898e-11
